J       CT       CP       eta
0.132   0.1022   0.0507   0.265
0.164   0.0998   0.0513   0.318
0.198   0.0969   0.0518   0.370
0.231   0.0942   0.0524   0.415
0.264   0.0906   0.0526   0.455
0.297   0.0869   0.0529   0.489
0.333   0.0828   0.0529   0.521
0.365   0.0786   0.0526   0.545
0.394   0.0747   0.0523   0.563
0.431   0.0688   0.0513   0.578
0.458   0.0639   0.0502   0.583
0.499   0.0554   0.0477   0.580
0.526   0.0498   0.0458   0.572
0.556   0.0428   0.0432   0.552
0.588   0.0352   0.0400   0.517
0.625   0.0248   0.0351   0.441
0.656   0.0168   0.0311   0.353
