J       CT       CP       eta
0.163   0.1043   0.0572   0.297
0.209   0.1012   0.0584   0.362
0.255   0.0965   0.0588   0.419
0.299   0.0916   0.0596   0.459
0.350   0.0854   0.0598   0.499
0.393   0.0780   0.0587   0.523
0.435   0.0711   0.0576   0.537
0.477   0.0647   0.0562   0.549
0.525   0.0545   0.0527   0.542
0.560   0.0472   0.0500   0.530
0.616   0.0352   0.0451   0.481
0.662   0.0249   0.0402   0.410
0.697   0.0163   0.0358   0.316
0.745   0.0035   0.0288   0.089
0.793   -0.0084   0.0220   -0.304
0.834   -0.0189   0.0154   -1.026
0.886   -0.0323   0.0064   -4.449
