J       CT       CP       eta
0.094   0.0994   0.0470   0.198
0.119   0.0986   0.0479   0.244
0.145   0.0965   0.0484   0.288
0.165   0.0938   0.0484   0.320
0.190   0.0919   0.0488   0.358
0.214   0.0895   0.0492   0.390
0.238   0.0871   0.0496   0.418
0.261   0.0843   0.0496   0.444
0.282   0.0817   0.0495   0.465
0.309   0.0783   0.0497   0.487
0.328   0.0756   0.0494   0.503
0.356   0.0720   0.0492   0.521
0.374   0.0692   0.0487   0.531
0.398   0.0658   0.0484   0.541
0.425   0.0617   0.0479   0.547
0.447   0.0578   0.0470   0.550
0.471   0.0539   0.0462   0.549
