J       CT       CP       eta
0.122   0.1105   0.0630   0.214
0.151   0.1092   0.0637   0.259
0.184   0.1062   0.0637   0.306
0.220   0.1051   0.0652   0.355
0.254   0.1030   0.0663   0.395
0.287   0.1004   0.0671   0.430
0.319   0.0977   0.0678   0.460
0.350   0.0945   0.0684   0.484
0.385   0.0905   0.0688   0.507
0.417   0.0864   0.0688   0.523
0.450   0.0819   0.0688   0.536
0.481   0.0775   0.0686   0.544
0.513   0.0727   0.0681   0.548
0.545   0.0673   0.0672   0.546
0.576   0.0613   0.0658   0.536
0.610   0.0534   0.0635   0.513
0.638   0.0477   0.0615   0.495
