J       CT       CP       eta
0.482   0.0722   0.0639   0.544
0.510   0.0683   0.0631   0.552
0.542   0.0634   0.0618   0.556
0.569   0.0597   0.0610   0.557
0.596   0.0550   0.0596   0.550
0.622   0.0503   0.0582   0.537
0.656   0.0420   0.0549   0.501
0.681   0.0374   0.0531   0.480
0.715   0.0299   0.0502   0.426
0.743   0.0242   0.0475   0.377
0.767   0.0178   0.0449   0.305
0.798   0.0088   0.0413   0.171
0.832   -0.0003   0.0375   -0.007
0.860   -0.0086   0.0343   -0.216
0.889   -0.0171   0.0311   -0.490
0.917   -0.0260   0.0277   -0.863
0.946   -0.0340   0.0245   -1.311
0.977   -0.0433   0.0209   -2.023
1.003   -0.0504   0.0181   -2.789
1.032   -0.0592   0.0146   -4.173
1.061   -0.0670   0.0115   -6.168
