J       CT       CP       eta
0.133   0.1064   0.0651   0.217
0.159   0.1050   0.0654   0.255
0.196   0.1029   0.0658   0.306
0.229   0.0999   0.0657   0.349
0.257   0.0962   0.0650   0.381
0.291   0.0929   0.0649   0.417
0.326   0.0894   0.0650   0.448
0.358   0.0853   0.0645   0.474
0.389   0.0808   0.0637   0.494
0.423   0.0763   0.0631   0.512
0.459   0.0707   0.0619   0.525
0.491   0.0654   0.0605   0.532
0.519   0.0607   0.0591   0.533
0.553   0.0549   0.0572   0.530
0.583   0.0502   0.0559   0.524
0.618   0.0437   0.0533   0.506
0.650   0.0372   0.0507   0.476
