J       CT       CP       eta
0.534   0.0482   0.0595   0.433
0.568   0.0427   0.0577   0.421
0.603   0.0366   0.0556   0.397
0.630   0.0318   0.0538   0.373
0.666   0.0244   0.0510   0.318
0.691   0.0190   0.0490   0.268
0.727   0.0106   0.0459   0.168
0.753   0.0039   0.0437   0.067
0.791   -0.0068   0.0401   -0.135
0.815   -0.0132   0.0379   -0.284
0.862   -0.0268   0.0330   -0.700
0.884   -0.0324   0.0311   -0.922
0.923   -0.0435   0.0270   -1.487
0.955   -0.0520   0.0238   -2.085
0.987   -0.0605   0.0209   -2.864
1.019   -0.0684   0.0180   -3.868
1.050   -0.0765   0.0153   -5.249
