J       CT       CP       eta
0.093   0.1086   0.0678   0.149
0.120   0.1060   0.0678   0.188
0.143   0.1039   0.0679   0.219
0.166   0.1017   0.0679   0.249
0.192   0.1000   0.0684   0.280
0.218   0.0972   0.0684   0.309
0.242   0.0936   0.0678   0.334
0.264   0.0917   0.0681   0.355
0.287   0.0887   0.0677   0.375
0.312   0.0862   0.0677   0.397
0.335   0.0834   0.0672   0.416
0.358   0.0803   0.0668   0.430
0.382   0.0775   0.0664   0.445
0.406   0.0743   0.0661   0.457
0.429   0.0707   0.0654   0.463
0.453   0.0674   0.0649   0.470
0.481   0.0626   0.0637   0.473
