J       CT       CP       eta
0.114   0.0956   0.0436   0.250
0.143   0.0931   0.0440   0.303
0.171   0.0904   0.0442   0.349
0.201   0.0868   0.0443   0.394
0.232   0.0830   0.0444   0.434
0.259   0.0793   0.0444   0.464
0.286   0.0756   0.0443   0.488
0.314   0.0713   0.0439   0.509
0.342   0.0670   0.0434   0.527
0.368   0.0622   0.0424   0.539
0.400   0.0558   0.0409   0.547
0.426   0.0509   0.0395   0.549
0.457   0.0444   0.0375   0.541
0.481   0.0394   0.0357   0.530
0.515   0.0314   0.0326   0.495
0.542   0.0246   0.0297   0.450
0.571   0.0173   0.0264   0.375
