J       CT       CP       eta
0.373   0.0643   0.0424   0.565
0.396   0.0605   0.0418   0.573
0.416   0.0567   0.0408   0.578
0.437   0.0527   0.0397   0.579
0.457   0.0492   0.0389   0.578
0.483   0.0440   0.0372   0.571
0.504   0.0394   0.0356   0.558
0.524   0.0351   0.0339   0.542
0.549   0.0288   0.0314   0.504
0.568   0.0239   0.0293   0.465
0.592   0.0178   0.0265   0.397
0.612   0.0131   0.0245   0.326
0.636   0.0073   0.0219   0.213
0.660   0.0019   0.0193   0.064
0.684   -0.0044   0.0163   -0.184
0.701   -0.0082   0.0142   -0.406
0.723   -0.0140   0.0110   -0.915
0.748   -0.0206   0.0072   -2.134
