J       CT       CP       eta
0.487   0.0733   0.0604   0.591
0.515   0.0680   0.0588   0.595
0.540   0.0632   0.0575   0.594
0.570   0.0567   0.0552   0.585
0.595   0.0512   0.0531   0.574
0.627   0.0437   0.0499   0.549
0.649   0.0385   0.0475   0.526
0.685   0.0291   0.0427   0.467
0.713   0.0219   0.0388   0.403
0.747   0.0132   0.0341   0.290
0.776   0.0052   0.0295   0.136
0.804   -0.0025   0.0254   -0.078
0.833   -0.0101   0.0209   -0.402
0.860   -0.0174   0.0163   -0.921
0.890   -0.0255   0.0109   -2.078
0.919   -0.0330   0.0057   -5.296
