J       CT       CP       eta
0.078   0.0641   0.0243   0.204
0.099   0.0618   0.0243   0.252
0.122   0.0593   0.0241   0.300
0.142   0.0568   0.0240   0.336
0.165   0.0539   0.0237   0.376
0.187   0.0506   0.0233   0.407
0.210   0.0470   0.0227   0.435
0.231   0.0437   0.0222   0.456
0.256   0.0397   0.0216   0.471
0.278   0.0360   0.0209   0.480
0.299   0.0326   0.0202   0.482
0.324   0.0279   0.0192   0.471
0.343   0.0242   0.0182   0.455
0.364   0.0199   0.0171   0.424
0.385   0.0159   0.0160   0.383
0.409   0.0108   0.0145   0.306
0.436   0.0051   0.0127   0.174
