J       CT       CP       eta
0.111   0.1190   0.0584   0.225
0.138   0.1170   0.0587   0.275
0.162   0.1154   0.0592   0.316
0.187   0.1136   0.0598   0.356
0.212   0.1116   0.0602   0.394
0.238   0.1094   0.0607   0.429
0.265   0.1061   0.0607   0.463
0.291   0.1030   0.0608   0.492
0.316   0.0997   0.0609   0.517
0.341   0.0961   0.0607   0.541
0.367   0.0925   0.0605   0.561
0.391   0.0885   0.0599   0.578
0.416   0.0855   0.0598   0.594
0.438   0.0810   0.0588   0.603
0.463   0.0768   0.0581   0.612
0.492   0.0715   0.0568   0.619
