J       CT       CP       eta
0.131   0.0695   0.0409   0.223
0.166   0.0650   0.0408   0.265
0.200   0.0604   0.0405   0.299
0.232   0.0557   0.0395   0.328
0.266   0.0509   0.0387   0.350
0.310   0.0439   0.0371   0.367
0.344   0.0383   0.0360   0.365
0.376   0.0331   0.0346   0.359
0.412   0.0265   0.0328   0.333
0.446   0.0197   0.0305   0.288
0.480   0.0129   0.0279   0.221
0.513   0.0063   0.0256   0.126
0.548   -0.0015   0.0227   -0.035
0.575   -0.0079   0.0203   -0.224
0.614   -0.0169   0.0170   -0.613
0.653   -0.0267   0.0129   -1.351
0.675   -0.0320   0.0106   -2.045
