J       CT       CP       eta
0.114   0.0788   0.0370   0.243
0.142   0.0754   0.0370   0.289
0.175   0.0714   0.0372   0.335
0.204   0.0672   0.0369   0.371
0.235   0.0624   0.0364   0.402
0.268   0.0570   0.0356   0.429
0.297   0.0521   0.0345   0.448
0.330   0.0458   0.0333   0.453
0.354   0.0411   0.0320   0.455
0.392   0.0337   0.0300   0.439
0.418   0.0283   0.0281   0.421
0.450   0.0212   0.0255   0.374
0.478   0.0149   0.0235   0.304
0.506   0.0087   0.0210   0.209
0.536   0.0020   0.0183   0.058
0.568   -0.0062   0.0154   -0.227
0.603   -0.0145   0.0118   -0.743
