J       CT       CP       eta
0.096   0.0928   0.0413   0.217
0.124   0.0902   0.0416   0.269
0.150   0.0873   0.0418   0.313
0.178   0.0838   0.0421   0.355
0.207   0.0804   0.0423   0.393
0.232   0.0768   0.0422   0.422
0.261   0.0726   0.0418   0.453
0.288   0.0683   0.0412   0.478
0.315   0.0641   0.0406   0.496
0.341   0.0592   0.0397   0.508
0.369   0.0538   0.0384   0.517
0.394   0.0491   0.0371   0.520
0.423   0.0424   0.0353   0.509
0.448   0.0376   0.0337   0.500
0.478   0.0313   0.0313   0.477
0.497   0.0272   0.0297   0.455
0.527   0.0192   0.0265   0.383
