J       CT       CP       eta
0.087   0.0885   0.0480   0.160
0.110   0.0862   0.0480   0.197
0.132   0.0840   0.0476   0.233
0.155   0.0820   0.0475   0.268
0.177   0.0796   0.0475   0.297
0.200   0.0772   0.0474   0.325
0.223   0.0742   0.0469   0.353
0.246   0.0718   0.0467   0.377
0.268   0.0691   0.0464   0.399
0.287   0.0668   0.0462   0.414
0.308   0.0636   0.0457   0.429
0.332   0.0598   0.0450   0.442
0.355   0.0564   0.0443   0.452
0.376   0.0530   0.0436   0.457
0.397   0.0495   0.0427   0.460
0.419   0.0458   0.0419   0.458
0.440   0.0421   0.0408   0.454
