J       CT       CP       eta
0.132   0.0823   0.0458   0.238
0.164   0.0767   0.0451   0.279
0.197   0.0711   0.0444   0.315
0.227   0.0673   0.0439   0.348
0.267   0.0614   0.0427   0.384
0.298   0.0574   0.0418   0.408
0.326   0.0539   0.0409   0.429
0.369   0.0477   0.0391   0.449
0.395   0.0440   0.0379   0.459
0.428   0.0394   0.0365   0.462
0.459   0.0346   0.0348   0.456
0.500   0.0281   0.0324   0.435
0.521   0.0242   0.0307   0.410
0.559   0.0178   0.0280   0.356
0.591   0.0119   0.0254   0.276
0.626   0.0050   0.0223   0.141
0.658   -0.0018   0.0191   -0.062
