J       CT       CP       eta
0.156   0.0700   0.0484   0.225
0.194   0.0666   0.0480   0.270
0.235   0.0629   0.0475   0.311
0.274   0.0583   0.0463   0.346
0.315   0.0543   0.0457   0.374
0.364   0.0472   0.0437   0.393
0.404   0.0414   0.0420   0.397
0.440   0.0357   0.0403   0.390
0.484   0.0289   0.0377   0.371
0.527   0.0210   0.0346   0.320
0.566   0.0133   0.0310   0.244
0.599   0.0076   0.0287   0.159
0.648   -0.0030   0.0240   -0.081
0.681   -0.0099   0.0208   -0.324
0.726   -0.0209   0.0156   -0.972
0.763   -0.0293   0.0117   -1.913
0.806   -0.0402   0.0066   -4.888
