J       CT       CP       eta
0.445   0.0580   0.0528   0.490
0.473   0.0524   0.0510   0.485
0.498   0.0475   0.0496   0.477
0.524   0.0421   0.0476   0.464
0.549   0.0371   0.0458   0.445
0.576   0.0315   0.0437   0.416
0.609   0.0246   0.0410   0.366
0.629   0.0205   0.0392   0.329
0.653   0.0153   0.0369   0.270
0.680   0.0095   0.0345   0.188
0.705   0.0039   0.0318   0.087
0.738   -0.0037   0.0283   -0.097
0.764   -0.0099   0.0254   -0.297
0.797   -0.0178   0.0217   -0.652
0.822   -0.0238   0.0189   -1.036
0.843   -0.0286   0.0166   -1.455
0.876   -0.0368   0.0127   -2.529
0.893   -0.0415   0.0104   -3.545
