J       CT       CP       eta
0.391   0.0399   0.0377   0.414
0.414   0.0364   0.0366   0.412
0.442   0.0320   0.0353   0.401
0.460   0.0291   0.0342   0.392
0.492   0.0233   0.0320   0.359
0.511   0.0200   0.0306   0.333
0.538   0.0147   0.0284   0.278
0.558   0.0109   0.0269   0.225
0.585   0.0053   0.0246   0.127
0.603   0.0018   0.0230   0.048
0.632   -0.0044   0.0203   -0.136
0.657   -0.0095   0.0179   -0.351
0.682   -0.0147   0.0153   -0.654
0.704   -0.0197   0.0128   -1.082
0.728   -0.0254   0.0100   -1.842
