J       CT       CP       eta
0.409   0.0379   0.0447   0.347
0.434   0.0337   0.0434   0.337
0.457   0.0298   0.0422   0.323
0.488   0.0242   0.0404   0.292
0.506   0.0210   0.0394   0.269
0.530   0.0168   0.0380   0.234
0.557   0.0114   0.0362   0.176
0.584   0.0062   0.0341   0.106
0.611   0.0010   0.0320   0.019
0.631   -0.0033   0.0303   -0.068
0.660   -0.0099   0.0276   -0.237
0.681   -0.0143   0.0258   -0.378
0.703   -0.0197   0.0237   -0.586
0.725   -0.0254   0.0210   -0.878
0.756   -0.0328   0.0182   -1.363
0.783   -0.0400   0.0151   -2.075
0.805   -0.0461   0.0126   -2.937
0.834   -0.0538   0.0088   -5.103
